[Fri Aug 26 06:26:09.366371 2016] [:error] [pid 2943] [client 127.0.0.1:54874] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:26:45.953756 2016] [:error] [pid 2944] [client 127.0.0.1:54878] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:11.841688 2016] [:error] [pid 2945] [client 127.0.0.1:54880] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:12.521132 2016] [:error] [pid 2945] [client 127.0.0.1:54880] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:21.583383 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:22.094273 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:22.610466 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:22.654557 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:22.679038 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:22.687599 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
[Fri Aug 26 06:27:22.718260 2016] [:error] [pid 2941] [client 127.0.0.1:54882] PHP Fatal error:  Uncaught ReflectionException: Class log does not exist in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php:734\nStack trace:\n#0 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(734): ReflectionClass->__construct('log')\n#1 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(629): Illuminate\\Container\\Container->build('log', Array)\n#2 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(697): Illuminate\\Container\\Container->make('log', Array)\n#3 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(849): Illuminate\\Foundation\\Application->make('log')\n#4 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(804): Illuminate\\Container\\Container->resolveClass(Object(ReflectionParameter))\n#5 /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php(773): Illuminate\\Container\\Container->getDependencies(Arr in /var/www/html/news/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 734, referer: http://news.dev.com/admin
